identifier;customeridentifier;date;reason;state;amounttotal;
"1";"52";"2016-12-29 00:00:00";"urna. Vivamus molestie";"PENDING";"122";
"2";"67";"2016-02-16 00:00:00";"libero dui";"PENDING";"184";
"3";"90";"2016-09-25 00:00:00";"accumsan";"ACCEPTED";"54";
"4";"30";"2016-10-28 00:00:00";"ridiculus";"REFUSED";"57";
"5";"52";"2016-06-04 00:00:00";"sagittis. Nullam";"PENDING";"64";
"6";"37";"2015-12-29 00:00:00";"purus gravida sagittis.";"PENDING";"98";
"7";"73";"2016-03-15 00:00:00";"sodales at, velit.";"ACCEPTED";"74";
"8";"5";"2016-03-16 00:00:00";"consectetuer rhoncus. Nullam";"REFUSED";"152";·
"9";"73";"2016-02-24 00:00:00";"accumsan convallis,";"PENDING";"0";
"10";"1";"2016-06-15 00:00:00";"Donec";"PENDING";"68";
"11";"30";"2016-02-08 00:00:00";"rhoncus.";"ACCEPTED";"53";
"12";"18";"2016-11-23 00:00:00";"convallis dolor.";"REFUSED";"0";
"13";"50";"2016-07-26 00:00:00";"Maecenas malesuada fringilla";"PENDING";"220";
"14";"76";"2016-03-05 00:00:00";"elit fermentum";"PENDING";"69";
"15";"63";"2016-03-18 00:00:00";"non, sollicitudin";"ACCEPTED";"17";
"16";"88";"2016-10-10 00:00:00";"auctor, nunc nulla";"REFUSED";"0";
"17";"70";"2016-07-27 00:00:00";"ornare,";"PENDING";"13";
"18";"1";"2016-12-13 00:00:00";"justo. Proin non";"PENDING";"92";
"19";"61";"2016-04-25 00:00:00";"magna. Lorem ipsum";"ACCEPTED";"254";
"20";"84";"2015-12-11 00:00:00";"facilisi. Sed neque.";"REFUSED";"0";
"21";"52";"2016-07-02 00:00:00";"Nam interdum";"PENDING";"0";
"22";"37";"2016-11-14 00:00:00";"tristique aliquet. Phasellus";"PENDING";"0";
"23";"59";"2016-12-21 00:00:00";"augue";"ACCEPTED";"47";
"24";"25";"2015-12-24 00:00:00";"amet, faucibus";"REFUSED";"116";
"25";"39";"2016-08-14 00:00:00";"Pellentesque tincidunt";"PENDING";"65";
"26";"73";"2016-06-06 00:00:00";"lacus";"PENDING";"83";
"27";"47";"2016-12-20 00:00:00";"lectus sit";"ACCEPTED";"90";
"28";"5";"2016-01-29 00:00:00";"Proin vel";"REFUSED";"0";
"29";"58";"2016-09-15 00:00:00";"felis";"PENDING";"128";
"30";"84";"2016-12-14 00:00:00";"eu odio";"PENDING";"150";
